Countries;31/12/2019;01/01/2020;02/01/2020;03/01/2020;04/01/2020;05/01/2020;06/01/2020;07/01/2020;08/01/2020;09/01/2020;10/01/2020;11/01/2020;12/01/2020;13/01/2020;14/01/2020;15/01/2020;16/01/2020;17/01/2020;18/01/2020;19/01/2020;20/01/2020;21/01/2020;22/01/2020;23/01/2020;24/01/2020;25/01/2020;26/01/2020;27/01/2020;28/01/2020;29/01/2020;30/01/2020;31/01/2020;01/02/2020;02/02/2020;03/02/2020;04/02/2020;05/02/2020;06/02/2020;07/02/2020;08/02/2020;09/02/2020;10/02/2020;11/02/2020;12/02/2020;13/02/2020;14/02/2020;15/02/2020;16/02/2020;17/02/2020;18/02/2020;19/02/2020;20/02/2020;21/02/2020;22/02/2020;23/02/2020;24/02/2020;25/02/2020;26/02/2020;27/02/2020;28/02/2020;29/02/2020;01/03/2020;02/03/2020;03/03/2020;04/03/2020;05/03/2020;06/03/2020;07/03/2020;08/03/2020;09/03/2020;10/03/2020;11/03/2020;12/03/2020;13/03/2020;14/03/2020;15/03/2020;16/03/2020;17/03/2020;18/03/2020;19/03/2020;20/03/2020;21/03/2020;22/03/2020;23/03/2020;24/03/2020;25/03/2020;26/03/2020;27/03/2020;28/03/2020;29/03/2020;30/03/2020;31/03/2020;01/04/2020;02/04/2020;03/04/2020;04/04/2020;05/04/2020;06/04/2020;07/04/2020;08/04/2020;09/04/2020;10/04/2020;11/04/2020;12/04/2020;13/04/2020;14/04/2020;15/04/2020;16/04/2020;17/04/2020;18/04/2020;19/04/2020;20/04/2020;21/04/2020;22/04/2020;23/04/2020;24/04/2020;25/04/2020;26/04/2020;27/04/2020;28/04/2020;29/04/2020;30/04/2020;01/05/2020;02/05/2020;03/05/2020;04/05/2020;05/05/2020;06/05/2020;07/05/2020;08/05/2020;09/05/2020;10/05/2020;11/05/2020;12/05/2020;13/05/2020;14/05/2020;15/05/2020;16/05/2020;17/05/2020;18/05/2020;19/05/2020;20/05/2020;21/05/2020;22/05/2020;23/05/2020;24/05/2020;25/05/2020;26/05/2020;27/05/2020;28/05/2020;29/05/2020;30/05/2020;31/05/2020;01/06/2020;02/06/2020;03/06/2020;04/06/2020;05/06/2020;06/06/2020;07/06/2020;08/06/2020;09/06/2020;10/06/2020;11/06/2020;12/06/2020;13/06/2020;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;21/06/2020;22/06/2020;23/06/2020;24/06/2020;25/06/2020;26/06/2020;27/06/2020;28/06/2020;29/06/2020;30/06/2020;01/07/2020;02/07/2020;03/07/2020;04/07/2020;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020;12/07/2020;13/07/2020;14/07/2020;15/07/2020;16/07/2020;17/07/2020;18/07/2020;19/07/2020;20/07/2020;21/07/2020;22/07/2020;23/07/2020;24/07/2020;25/07/2020;26/07/2020;27/07/2020;28/07/2020;29/07/2020;30/07/2020;31/07/2020;01/08/2020;02/08/2020;03/08/2020;04/08/2020;05/08/2020;06/08/2020;07/08/2020;08/08/2020;09/08/2020;10/08/2020;11/08/2020;12/08/2020;13/08/2020;14/08/2020;15/08/2020;16/08/2020;17/08/2020;18/08/2020;19/08/2020;20/08/2020;21/08/2020;22/08/2020;23/08/2020;24/08/2020;25/08/2020;26/08/2020;27/08/2020;28/08/2020;29/08/2020;30/08/2020;31/08/2020;01/09/2020;02/09/2020;03/09/2020;04/09/2020;05/09/2020;06/09/2020;07/09/2020;08/09/2020;09/09/2020;10/09/2020;11/09/2020;12/09/2020;13/09/2020;14/09/2020;15/09/2020;16/09/2020;17/09/2020;18/09/2020;19/09/2020;20/09/2020;21/09/2020;22/09/2020;23/09/2020;24/09/2020;25/09/2020;26/09/2020;27/09/2020;28/09/2020;29/09/2020;30/09/2020;01/10/2020;02/10/2020;03/10/2020;04/10/2020;05/10/2020;06/10/2020;07/10/2020;08/10/2020;09/10/2020;10/10/2020;11/10/2020;12/10/2020;13/10/2020;14/10/2020;15/10/2020;16/10/2020;17/10/2020;18/10/2020;19/10/2020;20/10/2020;21/10/2020;22/10/2020;23/10/2020;24/10/2020;25/10/2020;26/10/2020;27/10/2020;28/10/2020;29/10/2020;30/10/2020;31/10/2020;01/11/2020;02/11/2020;03/11/2020;04/11/2020;05/11/2020;06/11/2020;07/11/2020;08/11/2020;09/11/2020;10/11/2020;11/11/2020;12/11/2020;13/11/2020
Cuba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;3;4;5;5;4;10;5;8;9;10;13;39;20;31;16;26;21;36;19;32;30;46;61;58;49;56;49;57;40;48;48;61;63;49;52;50;52;46;50;52;32;20;48;30;34;36;74;38;19;17;18;26;12;13;12;17;21;6;20;10;22;10;9;6;13;8;8;15;10;6;16;11;9;22;20;20;38;9;15;12;14;40;18;9;5;6;8;14;5;10;14;11;7;15;10;4;3;3;3;1;2;4;5;2;8;1;7;5;8;8;3;8;15;4;4;10;7;6;2;4;6;2;4;1;1;0;3;13;4;3;9;17;37;23;33;9;11;25;13;24;31;25;49;54;59;65;93;47;35;46;55;63;24;48;44;74;83;17;35;65;35;27;15;47;60;59;48;59;33;61;88;52;32;11;43;25;82;92;42;60;31;42;77;73;57;71;51;36;50;81;48;40;40;62;45;26;48;66;73;48;62;29;36;38;15;19;26;5;30;22;17;18;27;56;52;50;38;47;63;53;58;55;32;29;83;49;39;35;86;48;35;65;109;40;44;39;30;52;43;37;0
Curaçao;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;3;0;0;1;1;0;1;0;2;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;2;0;6;4;0;2;4;4;0;0;11;0;0;7;3;10;4;10;5;9;15;4;10;12;0;12;23;18;18;19;21;14;9;10;14;14;8;23;4;6;22;7;12;18;23;0;10;14;29;0;66;12;2;34;26;28;25;17;29;7;8;26;19;14;19;21;15;0;11;23;37;26;17;8;5;21;9;23;24;20;5;29;51;0
Cyprus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;8;7;9;10;0;18;0;9;17;11;21;8;8;14;16;17;35;16;32;58;36;40;30;20;19;29;32;38;31;21;17;29;33;20;20;0;26;6;5;12;6;5;9;6;7;5;15;6;7;7;7;8;2;4;5;6;2;1;6;3;2;2;2;3;4;2;1;1;4;1;4;0;8;2;2;0;2;0;2;1;5;3;6;0;2;0;4;6;2;2;1;5;0;3;2;0;0;0;0;0;1;2;2;1;1;0;2;0;2;2;1;0;0;3;1;1;1;3;2;3;1;7;1;0;1;8;0;6;1;0;2;0;5;2;6;4;3;7;13;4;30;10;26;5;25;15;13;14;11;9;10;25;14;14;13;14;0;19;8;26;10;11;11;4;30;23;7;0;0;2;4;1;2;5;3;0;9;2;1;1;3;3;3;3;3;8;6;8;10;7;15;20;3;15;36;9;8;13;12;17;30;12;17;17;22;13;23;29;21;21;33;35;0;61;0;83;51;198;0;265;43;152;127;188;160;130;101;91;181;0;234;166;149;197;197;174;166;233;224;314;116;111;198;165;0
Czechia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;3;4;7;7;6;8;23;31;22;34;64;84;46;90;88;172;210;91;170;71;158;260;408;217;384;166;173;306;281;269;332;282;115;235;195;295;257;163;170;89;68;82;162;130;116;105;133;127;127;95;52;85;79;52;45;55;75;103;55;18;26;38;77;78;57;46;18;28;53;45;48;82;55;49;20;111;61;74;33;59;77;67;47;46;36;54;56;34;43;29;62;74;56;35;38;61;69;54;73;62;52;53;33;40;47;51;68;176;42;50;63;89;127;93;168;260;305;202;149;92;132;141;121;75;51;119;129;105;143;53;59;64;103;134;137;130;113;90;153;226;246;230;281;131;112;192;283;294;249;232;125;101;208;278;243;211;320;175;120;139;289;292;326;292;198;121;190;281;315;247;506;239;133;258;367;403;349;477;317;273;251;499;656;679;797;503;404;560;1161;1159;1377;1447;1541;787;1034;1674;2136;3123;2107;2044;934;1524;2394;2306;2910;2944;1976;1303;1286;1960;1076;5336;3796;2554;1841;3120;4456;5338;5397;8617;4633;3103;4311;8326;9543;9720;11102;8715;5058;8077;11984;14969;14150;15258;12474;7300;10273;15663;12980;13055;13605;11429;6542;9252;12089;15731;13229;11552;7723;3608;6047;9005;8925;0
Democratic_Republic_of_the_Congo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;11;0;0;9;3;0;19;0;9;4;0;23;17;0;25;0;11;20;0;7;19;3;32;8;11;0;1;19;13;20;20;20;5;18;9;18;17;22;26;17;12;20;9;72;32;70;10;0;21;158;34;40;54;33;78;67;73;56;71;85;0;175;102;104;110;80;116;156;0;248;114;173;1;133;83;145;131;169;149;121;114;138;89;153;131;125;122;87;54;60;137;125;183;194;195;155;99;102;0;384;141;0;274;113;99;83;67;0;190;32;22;228;77;108;59;66;62;42;61;27;36;50;75;79;40;91;92;94;47;34;31;13;29;58;79;60;13;31;18;45;75;56;46;99;0;35;10;39;51;16;33;38;30;15;20;16;45;9;19;12;49;21;3;79;14;37;52;7;10;12;23;30;31;23;59;32;19;18;24;5;0;12;0;41;14;32;26;4;4;14;18;23;15;19;13;6;29;25;0;68;7;19;0;26;17;13;6;10;18;3;63;35;30;6;46;0;14;0;31;25;21;0;31;17;20;43;52;0;66;1;54;23;36;64;41;17;0;34;14;0
Denmark;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;3;2;10;3;8;7;75;151;252;160;128;23;48;57;92;91;36;104;71;69;65;131;133;153;169;155;194;182;283;247;279;371;320;292;312;390;331;233;184;177;178;144;193;170;198;194;169;142;131;180;217;161;137;235;130;123;153;157;150;153;96;116;147;151;162;100;135;101;110;84;78;76;46;78;67;69;41;76;73;65;48;59;71;27;41;52;32;81;40;36;30;35;37;40;64;49;24;14;39;15;19;64;40;54;24;33;44;50;47;0;0;136;34;54;21;39;0;0;76;17;26;21;17;0;0;46;10;12;16;30;0;0;91;24;31;32;49;0;0;89;40;48;40;48;0;0;109;30;57;91;64;0;0;207;77;112;121;136;0;0;373;144;111;144;165;104;134;123;115;85;116;71;0;0;270;83;57;90;73;0;0;285;99;111;179;173;0;0;566;243;251;317;292;0;0;584;329;442;822;454;0;0;1476;476;558;559;678;619;424;435;392;534;398;536;370;378;377;322;331;446;482;444;340;389;290;492;430;418;500;451;452;529;630;760;859;789;945;1056;745;1017;860;1191;1126;948;942;1353;936;1223;1427;1050;891;771;1066;994;0
Djibouti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;9;0;1;2;4;7;5;3;7;0;10;8;31;31;14;5;10;37;27;84;65;72;156;141;0;114;0;99;29;12;13;9;15;12;37;5;12;8;15;0;4;4;0;13;2;54;21;17;29;12;16;25;22;70;117;0;310;219;223;0;0;198;0;229;217;0;280;160;215;210;156;119;69;46;38;71;53;42;25;43;8;16;36;38;6;12;8;0;17;17;18;13;5;8;0;0;13;26;22;11;21;0;56;30;56;11;66;0;0;17;5;2;6;8;10;0;8;9;7;3;1;8;0;11;9;9;13;0;0;0;80;79;8;82;4;4;0;6;3;1;10;0;9;0;2;3;2;0;0;8;0;0;1;0;0;0;0;2;0;2;0;0;0;0;0;1;0;0;3;3;0;0;1;1;0;3;2;2;0;0;1;3;0;0;2;0;0;1;6;0;1;0;1;1;2;2;0;0;0;0;0;3;2;12;3;6;3;7;10;30;13;10;6;2;6;5;3;11;3;1;2;2;10;2;5;19;5;1;3;19;6;2;0
Dominica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;5;4;0;0;0;0;0;1;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;4;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dominican_Republic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;3;0;0;0;6;0;0;0;0;10;0;13;78;90;43;67;80;96;93;138;140;42;208;175;96;108;90;167;83;128;155;238;271;139;208;200;119;328;141;371;209;345;284;80;256;243;206;177;209;0;281;236;320;316;290;376;281;245;327;288;281;506;465;287;266;296;124;419;154;421;411;498;254;180;332;433;0;651;191;459;345;463;377;377;287;180;288;279;389;487;405;526;289;393;629;571;564;390;309;415;419;540;423;710;899;693;566;695;510;623;855;754;443;752;819;810;951;1036;1241;703;302;1158;1202;1125;1199;1418;974;799;1366;1072;1370;1406;1336;1101;841;1246;1572;1462;1819;2012;1248;534;1492;1733;1734;1766;828;874;1178;1365;876;1173;1069;954;767;595;1130;910;1354;1057;764;428;386;1004;883;857;694;600;447;609;340;407;426;342;509;474;264;648;1002;0;2147;557;565;233;806;779;516;860;568;450;693;718;615;596;968;589;494;486;468;385;475;360;429;280;234;309;519;622;576;554;574;317;777;724;585;557;463;366;165;654;404;384;475;422;320;306;425;475;511;634;509;316;165;562;343;419;686;314;259;257;430;546;476;345;537;421;528;134;0
Ecuador;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;1;0;3;3;0;0;1;1;2;0;0;6;5;9;21;53;57;31;227;106;257;192;101;129;192;224;208;55;76;336;456;405;205;97;181;101;248;455;515;2196;96;209;63;74;255;367;225;572;446;660;270;452;333;0;0;11536;521;1018;417;259;1402;1128;2074;2343;0;-2461;878;-1480;253;488;-50;910;67;16;965;1296;419;400;569;703;452;522;430;498;599;0;748;368;100;0;527;896;420;552;0;609;1153;392;258;539;523;0;1338;578;395;571;621;547;607;634;452;457;0;1003;691;822;700;718;681;410;767;1825;1211;1189;878;423;422;865;976;797;783;1408;661;589;1111;759;1036;1079;938;631;607;1597;1040;891;901;987;658;467;1118;914;1177;985;877;292;517;922;903;1671;1432;1603;887;242;862;1547;1233;1066;1279;854;209;1190;1534;1033;973;608;680;520;741;1519;670;922;765;742;119;542;1148;903;815;870;-8261;308;665;1409;1040;1526;1719;2143;317;642;1972;732;1872;1491;799;292;932;2249;1254;1329;1506;766;218;784;1298;1537;950;817;683;305;717;1475;1514;803;980;205;282;856;912;1277;1299;763;867;134;692;1510;826;1819;1344;2021;543;1014;1716;1394;845;1045;1002;368;548;1323;350;725;978;1421;362;442;919;0
Egypt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;12;0;34;6;4;1;20;13;0;17;16;40;30;14;46;29;9;33;39;76;14;39;41;40;33;47;54;69;0;206;85;3;249;238;139;95;145;126;125;160;155;168;171;188;112;189;157;0;169;433;227;0;463;260;226;269;358;298;272;348;388;387;393;495;488;436;346;347;338;398;399;491;510;535;720;745;774;783;827;652;702;789;910;1127;1289;1367;1536;1399;1152;1079;1152;1348;1497;1467;1365;1385;1455;1442;1578;1676;1618;1691;1567;1363;1218;1774;1547;1475;1576;1332;1420;1569;1625;1168;1265;1566;1557;1503;1485;1412;1324;1218;969;1057;1025;950;981;923;912;931;929;913;928;703;698;603;627;676;667;668;659;511;479;420;465;409;401;321;238;167;157;112;123;131;141;167;178;174;168;129;145;112;116;139;115;0;324;111;123;89;0;241;141;206;237;223;212;230;212;176;165;145;157;130;151;178;187;175;154;151;148;153;168;163;160;141;131;128;115;126;113;121;138;112;111;104;115;124;119;119;149;109;108;98;121;133;121;106;125;0;261;139;128;118;126;138;127;123;158;178;177;170;167;143;167;170;153;179;167;179;181;189;197;207;201;224;208;239;221;232;227;0
El_Salvador;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;2;4;4;0;0;6;11;2;0;9;5;10;6;7;9;0;25;14;1;0;7;24;10;0;5;13;13;11;17;7;12;13;11;37;0;25;22;32;47;22;0;109;32;0;108;0;89;105;69;40;39;75;98;55;0;73;75;85;73;69;85;94;96;68;59;67;85;84;239;0;65;71;52;76;68;85;81;89;87;83;207;0;122;117;106;115;125;134;129;297;0;182;165;177;186;181;417;0;239;265;298;264;267;240;270;250;280;259;278;298;249;283;304;325;342;312;250;301;338;361;375;393;402;415;429;409;405;411;395;389;402;418;398;395;419;439;425;418;434;445;449;397;375;349;321;305;293;281;269;255;247;456;0;202;189;175;154;144;131;220;94;91;84;0;96;99;209;0;105;98;91;86;163;77;81;79;75;0;86;97;82;125;245;156;0;247;214;0;215;179;172;96;98;0;183;92;193;94;105;0;109;0;245;0;284;286;295;204;191;210;0;309;145;142;159;164;0;340;0;0;520;0;0;570;0;0;0;767;363;0;0;0;0;0;0
Equatorial_Guinea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;2;0;3;0;2;1;1;0;1;0;1;0;0;1;0;0;0;0;2;0;0;0;3;0;20;10;0;28;0;0;0;0;4;1;128;2;44;0;57;0;0;0;0;0;0;124;0;0;0;0;0;0;0;83;72;0;0;0;125;171;0;13;0;140;0;0;0;0;0;0;263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;358;0;0;337;0;0;0;0;0;0;0;0;0;1070;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;0;0;0;34;0;0;0;0;2;0;13;0;0;24;0;0;7;0;0;0;13;0;5;0;6;0;4;0;0;0;2;0;0;16;0;0;0;0;10;0;0;2;0;15;0;0;0;7;0;10;0;1;0;0;3;0;2;0;2;0;0;0;4;0;0;5;0;0;4;0;0;0;5;0;1;0;0;0;3;0;0;0;0;10;2;0
Eritrea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;2;0;0;6;0;3;3;4;0;7;0;2;0;2;0;1;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;24;31;13;12;10;11;0;1;0;0;0;0;1;23;24;0;0;12;0;12;0;0;0;0;0;0;17;0;0;0;0;0;0;19;0;0;0;0;0;0;10;0;2;0;2;0;0;14;0;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;19;0;0;2;0;0;0;9;0;2;0;1;0;0;1;0;11;0;0;0;0;11;0;20;0;0;0;0;0;3;0;0;0;0;0;0;0;0;5;6;0;0;0;0;0;6;17;0;0;0;0;7;0;9;0;0;0;0;0;8;0;3;27;0;0;5;4;0;0;0;0;0;0;0;2;0;0;17;0;4;0;7;0;0;0;0;0
Estonia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;3;5;0;0;0;3;3;11;52;36;56;34;20;33;9;16;23;20;26;17;35;134;37;65;39;36;30;34;79;103;57;79;11;41;36;22;51;46;5;23;41;29;32;25;53;16;7;17;7;33;13;30;8;4;13;6;23;5;5;1;3;8;2;7;5;8;6;2;5;5;7;8;4;4;10;7;3;6;7;14;2;1;10;6;11;8;6;4;1;0;10;10;20;21;8;1;7;11;7;5;3;0;1;1;2;0;2;2;0;0;1;1;1;2;0;1;0;2;0;1;1;2;0;1;1;8;8;2;1;0;0;1;1;0;4;1;0;0;1;3;2;1;5;1;4;0;4;9;13;8;7;1;11;22;11;9;14;5;6;9;7;0;3;7;6;2;8;7;20;17;21;7;3;19;17;14;18;20;10;2;20;20;26;15;34;25;16;32;22;15;32;23;21;22;24;34;22;36;61;49;17;35;57;43;42;47;35;67;48;56;79;57;70;30;10;42;56;45;49;37;19;18;25;39;33;37;35;26;7;42;44;76;53;51;60;17;37;125;81;100;134;80;61;79;208;131;241;228;192;125;126;132;0
Eswatini;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;2;3;0;0;0;0;0;0;0;0;0;1;0;2;0;0;2;0;1;0;1;0;3;0;3;2;0;7;1;8;0;19;6;6;20;9;6;2;4;4;0;7;30;6;4;9;3;9;3;0;3;12;1;0;5;9;3;0;18;12;6;5;11;7;0;4;2;8;0;2;5;5;17;11;7;31;27;51;23;14;4;16;14;43;23;37;4;8;8;31;16;16;22;17;36;14;17;28;33;36;45;34;23;45;82;75;44;54;40;38;45;55;63;67;110;64;33;68;44;83;52;69;65;109;88;147;26;71;58;69;63;18;53;59;68;92;108;73;101;115;74;71;75;94;55;95;69;52;18;61;36;79;23;60;46;28;49;51;16;41;50;52;60;39;34;31;20;32;58;31;25;25;29;24;27;36;24;30;24;13;25;36;32;24;20;12;21;10;20;18;21;9;39;10;19;19;15;12;16;9;14;13;19;18;13;19;15;8;12;5;9;17;16;7;9;12;11;13;10;8;8;4;13;13;12;9;13;14;10;11;20;0
Ethiopia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;1;0;1;1;2;0;2;0;0;1;0;4;0;0;7;2;4;0;6;3;5;1;8;3;1;9;4;2;3;8;3;7;4;9;3;3;3;2;0;1;5;1;1;2;4;1;2;0;2;5;5;17;29;3;16;29;11;11;2;9;15;19;11;35;13;24;10;34;61;88;73;46;30;100;137;95;109;85;87;142;150;169;129;86;136;180;170;164;245;251;179;176;109;129;195;116;399;63;131;185;186;141;250;145;119;157;0;0;0;0;0;0;540;280;108;199;147;282;158;206;203;212;294;328;344;356;704;304;561;452;409;760;1275;579;653;610;805;915;469;0;1290;588;459;564;552;801;565;773;584;943;1086;1038;1652;982;1460;1386;1336;1778;1829;1368;1638;1472;1545;1533;1186;1733;1514;1468;1009;1173;1105;804;1303;950;1206;976;1136;916;878;789;521;413;485;700;738;689;602;616;689;889;713;661;604;486;527;632;612;640;784;730;890;872;959;618;566;892;902;865;767;866;841;582;712;739;665;600;703;723;630;628;575;536;629;485;364;511;602;481;488;380;414;359;560;379;510;355;455;474;307;345;400;0
